Section,Hour,traffic_count,commute_time,disturbance,breaks
0,0,4583,23,263,797
0,1,4586,23,262,795
0,2,4599,23,266,802
0,3,295,10,13,49
0,4,201,10,18,56
0,5,162,10,7,20
0,6,1974,15,112,344
0,7,6657,29,376,1138
0,8,6732,29,376,1133
0,9,6720,29,368,1108
0,10,6789,29,382,1155
0,11,3036,18,178,538
0,12,3040,18,176,534
0,13,2985,18,173,517
0,14,3061,18,180,539
0,15,3039,18,168,510
0,16,5504,25,316,948
0,17,5590,26,310,927
0,18,5598,26,311,939
0,19,5685,26,314,947
0,20,4636,23,255,767
0,21,4712,23,265,805
0,22,4642,23,253,767
0,23,4622,23,261,787
1,0,4538,23,248,747
1,1,4598,23,258,771
1,2,4550,23,251,758
1,3,4539,23,262,795
1,4,4565,23,256,772
1,5,4506,22,256,771
1,6,4434,22,245,745
1,7,4529,22,252,756
1,8,4561,23,255,772
1,9,4555,23,252,765
1,10,4537,23,253,768
1,11,4482,22,255,760
1,12,4455,22,251,758
1,13,4529,22,261,788
1,14,4529,22,250,749
1,15,4497,22,250,755
1,16,4423,22,256,769
1,17,4336,22,236,710
1,18,4265,22,242,724
1,19,4213,22,243,730
1,20,4277,22,239,718
1,21,4367,22,242,733
1,22,4350,22,238,721
1,23,4300,22,243,735
2,0,4400,22,241,723
2,1,4490,22,246,738
2,2,4438,22,250,757
2,3,4383,22,251,760
2,4,4292,22,238,721
2,5,4279,22,234,711
2,6,4278,22,234,711
2,7,4338,22,242,732
2,8,4370,22,248,745
2,9,4410,22,243,735
2,10,4497,22,255,763
2,11,4410,22,254,771
2,12,4376,22,238,721
2,13,4444,22,254,757
2,14,4413,22,249,755
2,15,4507,22,253,761
2,16,4546,23,252,762
2,17,4640,23,263,792
2,18,4722,23,257,770
2,19,4750,23,270,813
2,20,4757,23,260,780
2,21,4709,23,270,807
2,22,4728,23,270,816
2,23,4731,23,261,792
3,0,4770,23,260,779
3,1,4694,23,262,787
3,2,4635,23,266,806
3,3,4683,23,260,782
3,4,4642,23,267,801
3,5,4716,23,268,806
3,6,4777,23,265,797
3,7,4740,23,270,806
3,8,4828,23,268,814
3,9,4814,23,262,783
3,10,4851,23,277,839
